::1 - - [22/Sep/2020:04:13:56 +0000] "GET / HTTP/1.1" 200 64 "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:04:15:30 +0000] "POST /patients/signup HTTP/1.1" - - "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:04:16:33 +0000] "POST /patients/signup HTTP/1.1" - - "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:04:16:52 +0000] "POST /patients/signup HTTP/1.1" 200 85 "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:04:17:02 +0000] "POST /patients/signup HTTP/1.1" 403 46 "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:04:18:09 +0000] "POST /patients/login HTTP/1.1" 200 276 "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:04:19:30 +0000] "POST /doctor/signup HTTP/1.1" 403 25 "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:04:20:34 +0000] "POST /doctor/signup HTTP/1.1" 200 85 "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:04:20:51 +0000] "POST /doctor/login HTTP/1.1" 200 267 "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:04:21:14 +0000] "GET /patients/history HTTP/1.1" 200 34 "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:04:21:27 +0000] "GET /patients/cart HTTP/1.1" 200 43 "-" "PostmanRuntime/7.26.3"
::1 - - [22/Sep/2020:04:41:27 +0000] "POST /patients/login HTTP/1.1" 200 276 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:04:41:27 +0000] "GET /favicon.ico HTTP/1.1" 404 33 "http://localhost:4000/patients/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
::1 - - [22/Sep/2020:04:41:27 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 33 "-" "Safari/14606.3.4 CFNetwork/976 Darwin/18.2.0 (x86_64)"
::1 - - [22/Sep/2020:04:41:27 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 33 "-" "Safari/14606.3.4 CFNetwork/976 Darwin/18.2.0 (x86_64)"
